ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,item_UPA,item_IPA,form_set,etym_notes,glossing_notes
207-101-1,,207,101,jauhta,jauhta,,,VVS,,,,,,,2,,
208-101-1,,208,101,jauhoja,jauhoja,j ɑ u h o j ɑ,,InkmSk,,,,,jauhoja,jɑuhojɑ,2,,
209-101-1,,209,101,javama,javama,j ɑ v ɑ m ɑ,,VKJMS,,,,,javama,jɑvɑmɑ,2,,
210-101-1,,210,101,jahvatada,jahvatada,j ɑ h v ɑ tː ɑ t ɑ,,SVSk,,,,,,jɑhvɑtːɑtɑ,2,,
211-101-1,,211,101,jauhma,jauhma,,,VESr,,,,,,,2,,
212-101-1,,212,101,joʾuvə,joʾuvə,,,LivWb,,,,,,,2,,
301-101-1,,301,101,"jažams, jažavtoms",jažams,j ɑ ʒ ɑ m s,,MordWb,,,,,"jažams, jažavtoms",jɑʒɑms,2,,
301-101-2,,301,101,"jažams, jažavtoms",jažavtoms,j ɑ ʒ ɑ v t o m s,,MordWb,,,,,"jažams, jažavtoms",jɑʒɑvtoms,2,,
401-101-1,,401,101,"joŋə̑štem, joŋə̑žem",joŋə̑štem,j o ŋ ə ʃ t e m,,SMSk;TscherWb,,,,,"joŋə̑štem, joŋə̑žem",joŋəʃtem,2,,'Grind'
401-101-2,,401,101,"joŋə̑štem, joŋə̑žem",joŋə̑žem,j o ŋ ə ʒ e m,,SMSk;TscherWb,,,,,"joŋə̑štem, joŋə̑žem",joŋəʒem,2,,'Grind'
204-101-2,,204,101,murentoa,murentoa,,,KKSV,,,,,,,3,,
210-101-2,,210,101,purustada,purustada,p u r u s tː ɑ t ɑ,,SVSk,,,,,,purustːɑtɑ,4,,
211-101-2,,211,101,purutama,purutama,,,VESr,,,,,,,4,,
212-101-2,,212,101,suʾrrə,suʾrrə,,,LivWb,,,,,,,5,"Cogn. with Fin ""survoa"" 'cram, mash'",
105-101-1,,105,101,milˈlet,milˈlet,,,SSSg,,,,,,,6,,'Grind (primarily coffee)'
106-101-1,,106,101,millođ,millođ,,,InsSSk,,,,,,,6,,
108-101-1,,108,101,mielle,mielle,m i e lː e,,WOLD,,,,,,mielːe,6,,
101-101-1,,101,101,måaladidh,måaladidh,,,NSsNdb,,,,,,,7,,
105-101-2,,105,101,molˈlet,molˈlet,,,SSSg,,,,,,,7,,
107-101-1,,107,101,maaʹlˈjed,maaʹlˈjed,,,SKosSk,,,,,,,7,,
401-101-3,,401,101,tə̑ɣə̑δemδem,tə̑ɣə̑δemδem,t ə ɣ ə ð e m ð e m,,SMSk;TscherWb,,,,,tə̑ɣə̑δemδem,təɣəðemðem,8,"Deriv. from ""tə̑ɣə̑δe"" 'fine, small-grained'",
401-101-4,,401,101,"laštə̑rtem, laštə̑rɣem",laštə̑rtem,l ɑ ʃ t ə r t e m,,SMSk;TscherWb,,,,,"laštə̑rtem, laštə̑rɣem",lɑʃtərtem,9,,'Crush'
401-101-5,,401,101,"laštə̑rtem, laštə̑rɣem",laštə̑rɣem,l ɑ ʃ t ə r ɣ e m,,SMSk;TscherWb,,,,,"laštə̑rtem, laštə̑rɣem",lɑʃtərɣem,9,,'Crush'
501-101-1,,501,101,"ize̮dni̮, izni̮",ize̮dni̮,i z ɤ d n ɯ,,SyrjWsch,,,,,"ize̮dni̮, izni̮",izɤdnɯ,10,"Deriv. from ""iz"" 'stone'",
501-101-2,,501,101,"ize̮dni̮, izni̮",izni̮,i z n ɯ,,SyrjWsch,,,,,"ize̮dni̮, izni̮",iznɯ,10,"Deriv. from ""iz"" 'stone'",
503-101-1,,503,101,izni̮,izni̮,i z n ɯ,,KoPRSl,,,,,izni̮,iznɯ,10,"Deriv. from ""iz"" 'stone'",
501-101-3,,501,101,maikni̮,maikni̮,m ɑ i k n ɯ,,SyrjWsch,,,,,maikni̮,mɑiknɯ,11,,
504-101-1,,504,101,ńelʹki̮ni̮,ńelʹki̮ni̮,ɲ e ʎ k ɯ n ɯ,,WotjWsch,,,,,ńelʹki̮ni̮,ɲeʎkɯnɯ,12,,"'Crush, cram'"
601-101-1,,601,101,őröl,őröl,øː r ø l,,FMSz,,,,,,øːrøl,13,,'Grind'
601-101-2,,601,101,darál,darál,d ɒ r aː l,,FMSz,,,,,,dɒraːl,14,,'Grind'
701-101-1,,701,101,sāŋχwi ~ sāŋki,sāŋχwi ~ sāŋki,s ɑː ŋ xʷ i,,WogWb,,,,,"sāŋχwi, sāŋki","sɑːŋxʷi, sɑːŋki",15,,
807-101-1,,807,101,"roɣǝ-, rö̆ɣət-",roɣǝ-,r o ɣ ə,,DEWbOstj,,,,,"roɣə-, rö̆ɣət-",roɣə-,16,,
807-101-2,,807,101,"roɣǝ-, rö̆ɣət-",rö̆ɣət-,r ø ̆ ɣ ə t,,DEWbOstj,,,,,"roɣə-, rö̆ɣət-",rø̆ɣət-,16,,
902-101-1,,902,101,nyəyəlcy°,nyəyəlcy°,,,JurSWb,,,,,,,17,,
907-101-1,,907,101,kosəl-,kosəl-,k o s ə l,,SolkWb,,,,,kosəl-,kosəl-,18,,
601-101-3,,601,101,"összezúz, szétzúz",összezúz,ø sː ɛ z uː z s eː t z uː z,,FMSz,,,,,,"øsːɛzuːz, seːtzuːz",19,,'Crush'
601-101-4,,601,101,"összezúz, szétzúz",szétzúz,ø sː ɛ z uː z s eː t z uː z,,FMSz,,,,,,"øsːɛzuːz, seːtzuːz",19,,'Crush'
503-101-2,,503,101,kre̮šitni̮,kre̮šitni̮,k r ɤ ʃ i t n ɯ,,KoPRSl,,,,,kre̮šitni̮,krɤʃitnɯ,20,,
101-101-2,,101,101,njeervedh,njeervedh,,,NSsNdb,,,,,,,21,,
901-101-1,,901,101,hülʹəbti̮si̮,hülʹəbti̮si̮,h y ʎ ə b t ɯ s ɯ,,SlNgaRus,,,,,hülʹəbti̮si̮,hyʎəbtɯsɯ,22,,"'Scatter; crush, pulverize'"
901-101-2,,901,101,śelʹidʹi,śelʹidʹi,ɕ e ʎ i dʲ i,,SlNgaRus,,,,,śelʹidʹi,ɕeʎidʲi,23,,"'Sharpen, grind'"
0-102-1,,0,102,[Not reconstructable],,,PU *we(ń)ćV (UEW) problematic,UEW;Sam88,,,,,,,?,[Not reconstructable],
203-102-1,,203,102,kaikki,kaikki,k ɑ i kː i,,JL,,,,,,kɑikːi,1,,
204-102-1,,204,102,kaikki,kaikki,,,KKSV,,,,,,,1,,
207-102-1,,207,102,kaik,kaik,,,VVS,,,,,,,1,,
208-102-1,,208,102,"kai, kaiɢ, kaiɢin",kai,k ɑ i,,InkmSk,,,,,"kai, kaiɢ, kaiɢin",kɑi,1,,
208-102-2,,208,102,"kai, kaiɢ, kaiɢin",kaiɢ,k ɑ i ɡ̥,,InkmSk,,,,,"kai, kaiɢ, kaiɢin",kɑiɡ̥,1,,
