ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,item_UPA,item_IPA,form_set,etym_notes,glossing_notes
601-104-1,,601,104,állat,állat,aː lː ɒ t,,FMSz,,,,,,aːlːɒt,8,,
701-104-1,,701,104,ūj,ūj,uː j,,WogWb,,,,,ūj,uːj,9,"From PFU ?*wajV 'wild, shy'",
807-104-1,,807,104,wajəɣ,wajəɣ,w ɑ j ə ɣ,,DEWbOstj,,,,,wajəɣ,wɑjəɣ,9,"From PFU ?*wajV 'wild, shy'",
0-104-1,,0,104,*śurmi̮,*śurmi̮,,,UEW;Sam88,,,,,,,10,,'Wild animal'
902-104-1,,902,104,sarmyik°,sarmyik°,,,JurSWb,,,,,,,10,,
907-104-1,,907,104,sūrəm,sūrəm,s uː r ə m,,SolkWb,,,,,sūrəm,suːrəm,10,,
501-104-1,,501,104,peme̮s,peme̮s,p e m ɤ s,,SyrjWsch,,,,,peme̮s,pemɤs,11,,
504-104-1,,504,104,pe̮jšur,pe̮jšur,p ɤ j ʃ u r,,WotjWsch,,,,,pe̮jšur,pɤjʃur,12,,
503-104-1,,503,104,ve̮rpi,ve̮rpi,v ɤ r p i,,KoPRSl,,,,,ve̮rpi,vɤrpi,13,Historically from compound 'forest boy',
101-104-2,,101,104,vaejsjie,vaejsjie,,,NSsNdb,,,,,,,14,,
102-104-1,,102,104,tjuura,tjuura,,,WbWlap,,,,,,,4,,
204-104-3,,204,104,šiivatta,šiivatta,,,KKSV,,,,,,,2,,
207-104-1,,207,104,živat,živat,,,NRVS,,,,,,,2,,
501-104-2,,501,104,zv́er,zv́er,z vʲ e r,,SyrjWsch,,,,,zv́er,zvʲer,5,,
104-104-1,,104,104,judos,judos,,,EZ,,,,,,,15,,
901-104-1,,901,104,dʹaməδə,dʹaməδə,dʲ ɑ m ə ð ə,,SlNgaRus,,,,,dʹaməδə,dʲɑməðə,16,,
0-105-1,,0,105,[Not reconstructable],,,,UEW;Sam88,,,,,,,?,[Not reconstructable],
901-105-1,,901,105,[Form not found],,,,SlNgaRus,,,,,,,?,[Form not found],
101-105-1,,101,105,luvnie,luvnie,,,NSsNdb,,,,,,,1,,
102-105-1,,102,105,lüdˈnee,lüdˈnee,,,WbWlap,,,,,,,1,,
105-105-1,,105,105,luhtte,luhtte,,,SSSg,,,,,,,1,,
106-105-1,,106,105,lunne,lunne,,,InsSSk,,,,,,,1,,
203-105-1,,203,105,luona,luona,l u o̞ n ɑ,,JL,,,,,,luo̞nɑ,1,,
204-105-1,,204,105,luona,luona,,,KKSV,,,,,,,1,,
208-105-1,,208,105,lōn,lōn,l oː n,,InkmSk,,,,,lōn,loːn,1,,
207-105-1,,207,105,kohtas,kohtas,,,NRVS,,,,,,,2,,
209-105-1,,209,105,jūre̮ᴢ,jūre̮ᴢ,j uː r ɤ z̥,,VKJMS,,,,,jūre̮ᴢ,juːrɤz̥,3,,
210-105-1,,210,105,juures,juures,j uː r e s,,SVSk,,,,,,juːres,3,,
212-105-1,,212,105,jū(r)s,jūs,,,LivWb,,,,,,,3,,
107-105-1,,107,105,åʹrrn,åʹrrn,,,SKosSk,,,,,,,4,,
301-105-1,,301,105,kedʹse,kedʹse,k e dʲ s e,,MordWb,,,,,kedʹse,kedʲse,5,,
401-105-1,,401,105,δene,δene,ð e n e,,SMSk;TscherWb,,,,,δene,ðene,6,From PFU *tarV 'near',
501-105-1,,501,105,dori̮n,dori̮n,d o r ɯ n,,SyrjWsch,,,,,dori̮n,dorɯn,6,From PFU *tarV 'near',
504-105-1,,504,105,dori̮n,dori̮n,d o r ɯ n,,WotjWsch,,,,,dori̮n,dorɯn,6,From PFU *tarV 'near',
501-105-2,,501,105,ordi̮n,ordi̮n,o r d ɯ n,,SyrjWsch,,,,,ordi̮n,ordɯn,7,Deriv. from PFP *ertä 'side',
504-105-2,,504,105,urtsi̮n,urtsi̮n,u r t s ɯ n,,WotjWsch,,,,,urtsi̮n,urtsɯn,7,Deriv. from PFP *ertä 'side',
301-105-2,,301,105,pelʹe,pelʹe,p e ʎ e,,MordWb,,,,,pelʹe,peʎe,8,,
401-105-2,,401,105,pelen,pelen,p e l e n,,SMSk;TscherWb,,,,,pelen,pelen,8,,
601-105-1,,601,105,"(-nál/nél), nála",nála,n aː l n eː l n aː l ɒ,,FMSz,,,,,,"(-naːl/neːl), naːlɒ",9,,"Former as suffix, latter 'at him/her'"
601-105-2,,601,105,mellett,mellett,m ɛ lː ɛ tː,,FMSz,,,,,,mɛlːɛtː,10,,
