uralex_mng	lj_rank	leipzig_jakarta	fullbasic	swadesh100	swadesh200	swadesh207	ura100	wold401_500
fox	418	0	0	0	0	0	0	1
freeze	-	0	1	0	1	1	1	0
full	-	0	1	1	0	1	0	0
gather	417	0	0	0	0	0	0	1
girl	477	0	0	0	0	0	0	1
give	53	1	1	1	1	1	0	0
go	3	1	1	0	0	0	1	0
good	56	1	1	1	1	1	0	0
grandchild	473	0	0	0	0	0	0	1
grandson	481	0	0	0	0	0	0	1
grass	-	0	1	0	1	1	0	0
green	-	0	1	1	1	1	0	0
groan	443	0	0	0	0	0	0	1
guts	-	0	1	0	1	1	1	0
hair	31	1	1	1	1	1	0	0
hand	19	1	1	1	1	1	1	0
hard	99	1	1	0	0	0	1	0
he_she	34	1	1	0	1	1	1	0
head	-	0	1	1	1	1	1	0
hear	61	1	1	1	1	1	1	0
heart	-	0	1	1	1	1	1	0
heavy	71	1	1	0	1	1	1	0
heel	408	0	0	0	0	0	0	1
hen	453	0	0	0	0	0	0	1
here	-	0	1	0	1	1	1	0
hide	67	1	1	0	0	0	0	0
hit	36	1	1	0	1	1	0	0
hold	-	0	1	0	1	1	1	0
horn	38	1	1	1	0	1	0	0
house	26	1	1	0	0	0	0	0
how	-	0	1	0	1	1	1	0
hunt	476	0	1	0	1	1	0	1
husband	-	0	1	0	1	1	0	0
ice	474	0	1	0	1	1	1	1
if	-	0	1	0	1	1	0	0
in	97	1	1	0	1	1	0	0
keep	491	0	0	0	0	0	0	1
kill	-	0	1	1	1	1	1	0
knee	59	1	1	1	0	1	1	0
know	56	1	1	1	1	1	0	0
lake	-	0	1	0	1	1	1	0
laugh	61	1	1	0	1	1	1	0
leaf	64	1	1	1	1	1	0	0
leave	423	0	0	0	0	0	0	1
left	-	0	1	0	1	1	0	0
leg	37	1	1	0	1	1	1	0
lend	431	0	0	0	0	0	0	1
lie	-	0	1	1	1	1	0	0
light	410	0	0	0	0	0	0	1
live	-	0	1	0	1	1	1	0
liver	66	1	1	1	1	1	0	0
long	78	1	1	1	1	1	0	0
lose	422	0	0	0	0	0	0	1
loud	442	0	0	0	0	0	0	1
louse	15	1	1	1	1	1	0	0
lung	486	0	0	0	0	0	0	1
man	440	0	1	1	1	1	0	1
many	-	0	1	1	1	1	0	0
meat	18	1	1	1	1	1	0	0
millet	432	0	0	0	0	0	0	1
mind	499	0	0	0	0	0	0	1
molar_tooth	426	0	0	0	0	0	0	1
moon	-	0	1	1	0	1	0	0
morning	460	0	0	0	0	0	0	1
mosquito	407	0	0	0	0	0	0	1
mother	-	0	1	0	1	1	0	0
mountain	-	0	1	1	1	1	0	0
mouth	5	1	1	1	1	1	1	0
mumble	480	0	0	0	0	0	0	1
name	15	1	1	1	1	1	0	0
narrow	-	0	1	0	1	1	0	0
navel	42	1	1	0	0	0	0	0
near	-	0	1	0	1	1	1	0
neck	23	1	1	1	1	1	0	0
new	53	1	1	1	1	1	1	0
night	20	1	1	1	1	1	1	0
nine	413	0	0	0	0	0	0	1
nit	467	0	0	0	0	0	0	1
nose	2	1	1	1	1	1	1	0
not	56	1	1	1	1	1	1	0
old	74	1	1	0	1	1	0	0
one	32	1	1	1	1	1	1	0
only	441	0	0	0	0	0	0	1
other	-	0	1	0	1	1	1	0
person	427	0	1	1	1	1	0	1
pick_up	421	0	0	0	0	0	0	1
piece	439	0	0	0	0	0	0	1
play	-	0	1	0	1	1	0	0
pull	-	0	1	0	1	1	0	0
push	-	0	1	0	1	1	0	0
rain	13	1	1	1	1	1	1	0
rainbow	497	0	0	0	0	0	0	1
raise_lift	401	0	0	0	0	0	0	1
red	64	1	1	1	1	1	0	0
right	-	0	1	0	1	1	0	0
rightside	-	0	1	0	1	1	1	0
river	-	0	1	0	1	1	1	0
road	-	0	1	1	1	1	0	0
roast	452	0	0	0	0	0	0	1
root	9	1	1	1	1	1	0	0
rope	91	1	1	0	1	1	0	0
rotten	412	0	1	0	1	1	0	1
rough	458	0	0	0	0	0	0	1
round	-	0	1	1	0	1	0	0
rub	-	0	1	0	1	1	0	0
run	81	1	1	0	0	0	1	0
salt	91	1	1	0	1	1	0	0
salty	411	0	0	0	0	0	0	1
sand	59	1	1	1	1	1	0	0
say	28	1	1	1	1	1	0	0
scratch	-	0	1	0	1	1	0	0
sea	-	0	1	0	1	1	0	0
see	89	1	1	1	1	1	0	0
seed	-	0	1	1	1	1	0	0
sew	-	0	1	0	1	1	1	0
shadow	91	1	1	0	0	0	0	0
shake	459	0	0	0	0	0	0	1
shallow	468	0	0	0	0	0	0	1
share	493	0	0	0	0	0	0	1
sharp	-	0	1	0	1	1	0	0
shell	454	0	0	0	0	0	0	1
shit	494	0	0	0	0	0	0	1
short	482	0	1	0	1	1	1	1
shut	438	0	0	0	0	0	0	1
sing	-	0	1	0	1	1	0	0
sister	466	0	0	0	0	0	0	1
sit	-	0	1	1	1	1	0	0
skin	67	1	1	1	1	1	0	0
sky	-	0	1	0	1	1	0	0
sleep	-	0	1	1	1	1	0	0
small	91	1	1	1	1	1	0	0
smell	-	0	1	0	1	1	0	0
smoke	49	1	1	1	1	1	1	0
smooth	-	0	1	0	1	1	0	0
snake	-	0	1	0	1	1	0	0
sniff	471	0	0	0	0	0	0	1
snow	-	0	1	0	1	1	0	0
some	475	0	1	0	1	1	0	1
son-in-law	462	0	0	0	0	0	0	1
song	447	0	0	0	0	0	0	1
soon	433	0	0	0	0	0	0	1
sound_noise	448	0	0	0	0	0	0	1
spider	434	0	0	0	0	0	0	1
spit	-	0	1	0	1	1	1	0
split	-	0	1	0	1	1	1	0
squeeze	-	0	1	0	1	1	0	0
