uralex_lang	uralex_mng	variant	status	item	item_alt	item_upa	item_upa_alt	item_ipa	item_ipa_alt	segments	form_set	cogn_set	borr_source	borr_qual	etym_notes	glossing_notes	general_notes	ref_cogn	ref_borr	ref_item
erzya	I	1		mon		mon		mon		m o n	1	a								MordWb
estonian_south	I	1		maq				mɑʔ		m ɑ ʔ	1	a								VESr
estonian_south	I	2		mina				minɑ		m i n ɑ	1	a								VESr
estonian_south	I	3		minno				minːo		m i nː o	1	a								VESr
estonian_standard	I	1		mina	ma	mina		minɑ	mɑ	m i n ɑ	1	a								SVSk
finnish_standard	I	1		minä		minä		minæ		m i n æ	1	a								JL
hungarian	I	1		én		een		eːn		eː n	1	a			Early Ug *mänɜ > ämnɜ?					FMSz
ingrian	I	1		miä		miä		miæ		m i æ	1	a								InkmSk
karelian_proper	I	1		mie				mie		m i e	1	a					"In Olonets Karelian (Livvi), ""minä"""			KKSV
khanty_vakh_vasyugan	I	1		mä		mä		mæ		m æ	1	a								DEWbOstj
komi_permyak	I	1		me		me		me		m e	1	a					"Stem ""men-"""			KoPRSl
komi_zyrian	I	1		me		me		me		m e	1	a								SyrjWsch
livonian_courland	I	1		ma				mɑ		m ɑ	1	a								LivWb
mansi_sosva	I	1		am		am		ɑm		ɑ m	1	a			Early Ug *mänɜ > ämnɜ?					WogWb
mari_hill	I	1		məń		məń		mənʲ		m ə nʲ	1	a						SES, Bereczki2013, UEW		
mari_meadow	I	1		mə̑j		mə̑j		məj		m ə j	1	a								SMSk, TscherWb
moksha	I	1		mon				mon		m o n	1	a						SES, UEW		
nenets_tundra	I	1		məny°				məɲ		m ə ɲ	1	a								JurSWb
nganasan	I	1		mənə		mənə		mənə		m ə n ə	1	a								SlNgaRus
proto_uralic	I	1		*min-				min		m i n	1	a								UEW, Sam88
proto_uralic	I	2		*mun-				mun		m u n	1	a								UEW, Sam88
saami_inari	I	1		mun				mun		m u n	1	a								InsSSk
saami_kildin	I	1		munn		munn		munː		m u nː	1	a								WOLD
saami_north	I	1		mun				mun		m u n	1	a								SSSg
saami_pite	I	1		mån/iv/-iv				mɔn/iv/-iv		m ɔ n / i v / i v	1	a								EZ
saami_skolt	I	1		mon				mon		m o n	1	a								SKosSk
saami_south	I	1		manne				mɑnːe		m ɑ nː e	1	a								NSsNdb
saami_ume	I	1		månna				mɔnːɑ		m ɔ nː ɑ	1	a								WbWlap
selkup_northern	I	1		man		man		mɑn		m ɑ n	1	a								SolkWb
udmurt	I	1		mon		mon		mon		m o n	1	a								WotjWsch
veps	I	1		mińa	mä			minʲɑ		m i nʲ ɑ	1	a								VVS
votic_western	I	1		miä		miä		miæ		m i æ	1	a								VKJMS
erzya	all	1		veśe		veśe		veɕe		v e ɕ e	5	e			From PU *we(ń)ćV?					MordWb
estonian_south	all	1		kõik'				kɤikʲ		k ɤ i kʲ	1	a	baltic	clear					SSA, NES, EES	VESr
estonian_standard	all	1		kõik		kə̑ik		kɤik		k ɤ i k	1	a	baltic	clear					SSA, NES, EES	SVSk
finnish_standard	all	1		kaikki		kaikki		kɑikːi		k ɑ i kː i	1	a	baltic	clear					SSA, NES, EES	JL
hungarian	all	1		mind		mind		mind		m i n d	8	h								FMSz
hungarian	all	2		minden		minden		mindɛn		m i n d ɛ n	8	h								FMSz
hungarian	all	3		összes		össeš		øsːɛʃ		ø sː ɛ ʃ	5	e			From PU *we(ń)ćV?					FMSz
ingrian	all	1		kai		kai		kɑi		k ɑ i	1	a	baltic	clear					SSA, NES, EES	InkmSk
ingrian	all	2		kaiɢ		kaiɢ		kɑiɡ̥		k ɑ i ɡ̥	1	a	baltic	clear					SSA, NES, EES	InkmSk
ingrian	all	3		kaiɢin		kaiɢin		kɑiɡ̥in		k ɑ i ɡ̥ i n	1	a	baltic	clear					SSA, NES, EES	InkmSk
karelian_proper	all	1		kaikki				kɑikːi		k ɑ i kː i	1	a	baltic	clear					SSA, NES, EES	KKSV
khanty_vakh_vasyugan	all	1		əj-săɣi̮t		əj-săɣi̮t		əj-sɑ̆ɣɯt		ə j s ɑ ̆ ɣ ɯ t	10	j				"Comp; ""əj"" 'one'"				DEWbOstj
komi_permyak	all	1		bi̮de̮s		bi̮de̮s		bɯdɤs		b ɯ d ɤ s	7	g								KoPRSl
komi_zyrian	all	1		stav		stav		stɑv		s t ɑ v	11	k	russian	clear		Latter form used with animate referents			KESK, Kalima1911	SyrjWsch
komi_zyrian	all	2		stave̮n		stave̮n		stɑvɤn		s t ɑ v ɤ n	11	k	russian	clear		Latter form used with animate referents			KESK, Kalima1911	SyrjWsch
komi_zyrian	all	3		bi̮d		bi̮d		bɯd		b ɯ d	7	g								
komi_zyrian	all	4		bi̮de̮n		bi̮de̮n		bɯdɤn		b ɯ d ɤ n	7	g								
livonian_courland	all	1		amā				ɑmɑː		ɑ m ɑː	2	b								LivWb
mansi_sosva	all	1		sōχ		sōχ		soːx		s oː x	9	i								WogWb
mari_hill	all	1		cilä				t͡silæ		t͡s i l æ	4	d						SES, UEW		
mari_meadow	all	1		čə̑la		čə̑la		tʃəlɑ		tʃ ə l ɑ	4	d								SMSk, TscherWb
moksha	all	1		śembä				sʲembæ		sʲ e m b æ	16	p			Cognacy reference lacking			MdH		
nenets_tundra	all	1		mal°h				mɑlʔ		m ɑ l ʔ	6	f			"Deriv. from ""mal°"" 'end, top'"					JurSWb
nganasan	all	1		bənsə		bənsə		bənsə		b ə n s ə	5	e					Latter deriv.; from PU *we(ń)ćV?			SlNgaRus
nganasan	all	2		bəńdʹikā		bəńdʹikā		bəɲdʲikɑː		b ə ɲ dʲ i k ɑː	5	e					Latter deriv.; from PU *we(ń)ćV?			SlNgaRus
proto_uralic	all	1	not_reconstructable														PU *we(ń)ćV (UEW) problematic			UEW, Sam88
saami_inari	all	1		puoh				puoh		p u o h	3	c								InsSSk
saami_inari	all	2		viisut				viːsut		v iː s u t	14	n								InsSSk
saami_kildin	all	1		pugk		pugg		puɡː		p u ɡː	3	c								WOLD
saami_north	all	1		buot				puot		p u o t	3	c								SSSg
saami_pite	all	1		gajk				kɑjk		k ɑ j k	1	o	finnic	clear					Lagercrantz1939	EZ
saami_skolt	all	1		puk				puk		p u k	3	c								SKosSk
saami_south	all	1		gaajhke				ɡɑːjhke		ɡ ɑː j h k e	1	o	finnic	clear					Lagercrantz1939	NSsNdb
saami_ume	all	1		gáihka				kɑːihkɑ		k ɑː i h k ɑ	1	o	finnic	clear					Lagercrantz1939	WbWlap
selkup_northern	all	1		muntə		muntə		muntə		m u n t ə	12	l								SolkWb
udmurt	all	1		vańmi̮z		vańmi̮z		vɑɲmɯz		v ɑ ɲ m ɯ z	13	m								WotjWsch
veps	all	1		kaik				kɑik		k ɑ i k	1	a	baltic	clear					SSA, NES, EES	VVS
votic_western	all	1		kõiɢ	kõik	ke̮iɢ	ke̮ik	kɤiɡ̥	kɤik	k ɤ i ɡ̥	1	a	baltic	clear					SSA, NES, EES	VKJMS
erzya	and	1		di	da	di	da	di	dɑ	d i	4	p	russian	clear					MordWb	MordWb
erzya	and	2		i		i		i		i	2	t	russian	clear					MordWb	MordWb
estonian_south	and	1		ja				jɑ		j ɑ	1	o	germanic	clear					LAGLOS, EES	VESr
