uralex_lang	collected_by	final_wordlist_checked_by
erzya	Jyri Lehtinen, Natalia Chinaeva	Sven-Erik Soosaar
estonian_south	Katri Hiovain, Sulev Iva	Sven-Erik Soosaar
estonian_standard	Jyri Lehtinen, Eve Mikone	Sven-Erik Soosaar
finnish_standard	Jyri Lehtinen, Kaj Syrjänen	Sven-Erik Soosaar
hungarian	Jyri Lehtinen, Judit Varga, Zoltán Balogh, Nikolett F. Gulyás	Sven-Erik Soosaar
ingrian	Katri Hiovain	Sven-Erik Soosaar
karelian_proper	Jyri Lehtinen, Marja Torikka	Sven-Erik Soosaar
khanty_vakh_vasyugan	Jyri Lehtinen, Merja Salo	Sven-Erik Soosaar
komi_permyak	Nikolett F. Gulyás, Larisa Ponomareva, Rogier Blokland	Sven-Erik Soosaar
komi_zyrian	Jyri Lehtinen, Svetlana Lumme	Sven-Erik Soosaar
livonian_courland	Jyri Lehtinen, Santra Jantunen	Sven-Erik Soosaar
mansi_sosva	Jyri Lehtinen, Susanna Virtanen	Sven-Erik Soosaar
mari_hill		
mari_meadow	Jyri Lehtinen, Arto Moisio	Sven-Erik Soosaar
moksha	Sven-Erik Soosaar	
nenets_tundra	Jyri Lehtinen, Tapani Salminen	Sven-Erik Soosaar
nganasan	Jyri Lehtinen	Sven-Erik Soosaar
proto_uralic	Jyri Lehtinen	
saami_inari	Jyri Lehtinen	Sven-Erik Soosaar
saami_kildin	Michael Rießler	Sven-Erik Soosaar
saami_north	Jyri Lehtinen, Kaarina Vuolab-Lohi	Sven-Erik Soosaar
saami_pite	Evgenia Zhivotova	Sven-Erik Soosaar
saami_skolt	Jyri Lehtinen, Eino Koponen	Sven-Erik Soosaar
saami_south	Eino Koponen, Jyri Lehtinen	Sven-Erik Soosaar
saami_ume	Jyri Lehtinen, Eino Koponen	Sven-Erik Soosaar
selkup_northern	Jyri Lehtinen, Tapani Salminen	Sven-Erik Soosaar
udmurt	Jyri Lehtinen, Olga Titova	Sven-Erik Soosaar
veps	Jyri Lehtinen, Santra Jantunen	Sven-Erik Soosaar
votic_western	Katri Hiovain	Sven-Erik Soosaar
